incident_id,shipment_id,tracking_number,carrier,origin,destination,incident_type,severity_level,incident_status,incident_date,delay_hours,weather_condition,traffic_level,route_risk_score,estimated_financial_loss_cad,resolution_action,resolution_time_hours,warehouse_id,driver_id
INC023487,SHP086881,TRK6825116332,FedEx,Ottawa,Toronto,Customs Hold,Medium,Resolved,2026-04-01 10:00:00,1,Clear,High,15.78,2346.6,Refund Issued,46,WH-VAN-005,DRV01058
INC006902,SHP038608,TRK4647171324,DHL,Toronto,Montreal,Damaged Shipment,High,Resolved,2026-05-02 22:00:00,8,Clear,Medium,11.95,2083.29,Customer Notified,74,WH-VAN-005,DRV00019
INC024008,SHP072211,TRK8722169999,Purolator,Calgary,Edmonton,Traffic Disruption,Low,Resolved,2026-05-25 01:00:00,4,Clear,Low,5.35,1088.22,Delivery Rescheduled,37,WH-CGY-004,DRV01458
INC007376,SHP082170,TRK4886654160,DHL,Ottawa,Toronto,Damaged Shipment,Medium,Resolved,2026-05-04 23:00:00,4,Rain,Low,15.85,1368.2,Delivery Rescheduled,19,WH-HFX-003,DRV01457
INC022951,SHP018998,TRK6467921310,Canada Post,Vancouver,Kelowna,Mechanical Failure,High,Escalated,2026-04-02 20:00:00,2,Clear,Low,4.3,1260.05,Driver Reassigned,81,WH-HFX-003,DRV00641
INC024109,SHP015150,TRK5824044860,FedEx,Halifax,Moncton,Warehouse Processing Delay,High,Under Investigation,2026-02-22 14:00:00,12,Clear,Low,9.55,2433.92,Customer Notified,53,WH-OTT-006,DRV00937
INC001723,SHP047615,TRK3294588207,FedEx,Vancouver,Kelowna,Weather Delay,Low,Resolved,2026-06-09 11:00:00,4,Clear,High,17.35,1075.02,Route Reassigned,76,WH-TOR-001,DRV02315
INC005867,SHP089210,TRK5660597939,UPS,Calgary,Edmonton,Carrier Delay,Medium,Resolved,2026-01-15 18:00:00,12,Clear,High,21.55,585.47,Shipment Reprocessed,95,WH-OTT-006,DRV00855
INC015975,SHP045041,TRK4923380788,UPS,Ottawa,Toronto,Carrier Delay,Low,Resolved,2026-06-17 10:00:00,24,Storm,High,55.85,1039.25,Refund Issued,12,WH-TOR-001,DRV02133
INC023836,SHP094977,TRK8646496892,Purolator,Toronto,Montreal,Weather Delay,High,Resolved,2026-05-29 19:00:00,8,Rain,High,29.95,411.32,Customer Notified,59,WH-CGY-004,DRV01037
INC012839,SHP062732,TRK7082290550,UPS,Calgary,Edmonton,Address Issue,Critical,Resolved,2026-01-20 00:00:00,2,Snow,Medium,28.05,1472.82,Driver Reassigned,37,WH-CGY-004,DRV01640
INC009801,SHP028764,TRK3251447067,Canada Post,Halifax,Moncton,Lost Package,Low,Resolved,2026-04-04 01:00:00,48,Fog,Low,42.45,464.61,Route Reassigned,74,WH-TOR-001,DRV00270
INC021603,SHP068290,TRK6303294271,FedEx,Vancouver,Kelowna,Failed Delivery Attempt,Low,Resolved,2026-03-01 10:00:00,8,Clear,Low,7.45,2153.94,Customer Notified,8,WH-TOR-001,DRV00318
INC005217,SHP045741,TRK8258826562,UPS,Vancouver,Kelowna,Failed Delivery Attempt,Low,Resolved,2026-04-12 10:00:00,48,Cloudy,Low,31.95,1074.0,Warehouse Escalation,12,WH-CGY-004,DRV02203
INC000707,SHP016908,TRK2227566799,UPS,Vancouver,Kelowna,Lost Package,Low,Resolved,2026-06-14 03:00:00,12,Clear,High,21.55,278.52,Refund Issued,76,WH-MTL-002,DRV02323
INC017955,SHP084104,TRK5877095665,FedEx,Toronto,Montreal,Warehouse Processing Delay,Critical,Under Investigation,2026-05-26 13:00:00,48,Storm,Medium,60.95,1196.6,Refund Issued,41,WH-HFX-003,DRV00060
INC012855,SHP010183,TRK1487004756,Purolator,Calgary,Edmonton,Address Issue,Medium,Resolved,2026-06-14 01:00:00,1,Clear,High,15.78,525.94,Carrier Investigation,39,WH-TOR-001,DRV00122
INC011057,SHP045055,TRK5972671554,DHL,Toronto,Montreal,Traffic Disruption,Medium,Resolved,2026-05-14 03:00:00,12,Clear,Medium,14.05,2136.56,Route Reassigned,72,WH-CGY-004,DRV01967
INC013843,SHP057095,TRK5247567526,Canada Post,Calgary,Edmonton,Weather Delay,Medium,Resolved,2026-01-08 15:00:00,2,Clear,Low,4.3,1110.36,Route Reassigned,14,WH-HFX-003,DRV02489
INC022214,SHP099713,TRK2697849003,Canada Post,Halifax,Moncton,Lost Package,Medium,Resolved,2026-05-22 11:00:00,8,Fog,Medium,25.95,2423.97,Customer Notified,82,WH-HFX-003,DRV01104
INC015514,SHP093508,TRK3744642603,DHL,Ottawa,Toronto,Mechanical Failure,Critical,Resolved,2026-01-16 09:00:00,8,Snow,Low,26.7,166.09,Delivery Rescheduled,11,WH-CGY-004,DRV01380
INC011414,SHP039846,TRK1340828154,FedEx,Calgary,Edmonton,Address Issue,Low,Resolved,2026-01-25 08:00:00,8,Cloudy,Low,10.95,2302.31,Warehouse Escalation,43,WH-MTL-002,DRV00023
INC024829,SHP078055,TRK5739903834,DHL,Calgary,Edmonton,Failed Delivery Attempt,Low,Resolved,2026-05-23 20:00:00,1,Fog,Severe,37.28,471.86,Delivery Rescheduled,31,WH-CGY-004,DRV00171
INC012825,SHP025245,TRK2789585810,DHL,Vancouver,Kelowna,Traffic Disruption,Medium,Resolved,2026-03-22 06:00:00,4,Clear,Medium,9.85,1935.59,Delivery Rescheduled,51,WH-OTT-006,DRV00491
INC012815,SHP095475,TRK9737797075,UPS,Toronto,Montreal,Traffic Disruption,Low,Resolved,2026-03-30 21:00:00,24,Snow,Medium,39.6,150.48,Delivery Rescheduled,28,WH-CGY-004,DRV02247
INC002354,SHP044860,TRK8344676192,Purolator,Vancouver,Kelowna,Warehouse Processing Delay,Low,Open,2026-01-03 11:00:00,1,Snow,Low,23.02,346.49,Customer Notified,30,WH-MTL-002,DRV00389
INC017297,SHP024653,TRK5615942369,UPS,Vancouver,Kelowna,Warehouse Processing Delay,High,Open,2026-03-02 10:00:00,4,Clear,High,17.35,1417.57,Customer Notified,90,WH-VAN-005,DRV01999
INC023815,SHP071114,TRK2657253793,FedEx,Vancouver,Kelowna,Traffic Disruption,Low,Resolved,2026-04-30 06:00:00,1,Rain,High,26.28,1945.38,Customer Notified,52,WH-MTL-002,DRV01897
INC009275,SHP030547,TRK2204100415,Purolator,Calgary,Edmonton,Weather Delay,Medium,Resolved,2026-06-28 22:00:00,1,Clear,Low,3.78,50.97,Carrier Investigation,60,WH-MTL-002,DRV00564
INC009253,SHP039342,TRK4513173903,DHL,Halifax,Moncton,Weather Delay,Low,Resolved,2026-03-09 03:00:00,0,Snow,Severe,42.0,1633.31,Shipment Reprocessed,11,WH-CGY-004,DRV00825
INC022819,SHP036361,TRK4661122243,Purolator,Toronto,Montreal,Traffic Disruption,Medium,Resolved,2026-03-15 20:00:00,0,Snow,Severe,42.0,292.8,Warehouse Escalation,7,WH-TOR-001,DRV00728
INC006393,SHP085013,TRK9640235221,FedEx,Halifax,Moncton,Weather Delay,Medium,Resolved,2026-05-22 19:00:00,1,Clear,Low,3.78,1758.54,Customer Notified,62,WH-HFX-003,DRV00194
INC022974,SHP008838,TRK9056138344,FedEx,Halifax,Moncton,Lost Package,Medium,Resolved,2026-03-23 18:00:00,8,Rain,Low,17.95,2242.62,Driver Reassigned,59,WH-OTT-006,DRV02025
INC017958,SHP055473,TRK2815954620,FedEx,Vancouver,Kelowna,Weather Delay,High,Resolved,2026-06-09 02:00:00,2,Clear,Severe,23.8,343.74,Driver Reassigned,14,WH-TOR-001,DRV02168
INC012904,SHP096227,TRK1093328943,Canada Post,Ottawa,Toronto,Damaged Shipment,High,Resolved,2026-06-05 12:00:00,8,Fog,High,33.45,1974.75,Customer Notified,70,WH-MTL-002,DRV00860
INC003189,SHP091083,TRK3452004633,UPS,Toronto,Montreal,Weather Delay,Low,Open,2026-04-13 06:00:00,0,Storm,High,43.25,1812.72,Driver Reassigned,75,WH-OTT-006,DRV01114
INC004290,SHP004419,TRK2250060616,DHL,Calgary,Edmonton,Customs Hold,Low,Resolved,2026-05-13 02:00:00,24,Clear,High,27.85,210.89,Refund Issued,26,WH-CGY-004,DRV00354
INC010598,SHP098011,TRK7925075078,FedEx,Calgary,Edmonton,Weather Delay,High,Resolved,2026-04-23 19:00:00,2,Cloudy,Low,7.8,2329.35,Carrier Investigation,47,WH-TOR-001,DRV00122
INC024651,SHP099746,TRK8509881955,DHL,Calgary,Edmonton,Traffic Disruption,Medium,Resolved,2026-05-03 06:00:00,4,Clear,Severe,24.85,1764.65,Refund Issued,90,WH-MTL-002,DRV00270
INC019019,SHP088877,TRK6229137720,Canada Post,Toronto,Montreal,Traffic Disruption,Low,Resolved,2026-06-17 04:00:00,2,Clear,High,16.3,744.41,Warehouse Escalation,34,WH-OTT-006,DRV01193
INC001774,SHP068904,TRK1907062894,Purolator,Halifax,Moncton,Address Issue,Low,Resolved,2026-04-07 01:00:00,24,Clear,Low,15.85,894.18,Delivery Rescheduled,65,WH-MTL-002,DRV01443
INC023252,SHP094570,TRK3189298994,UPS,Toronto,Montreal,Weather Delay,High,Under Investigation,2026-06-29 17:00:00,0,Storm,High,43.25,811.68,Route Reassigned,94,WH-TOR-001,DRV02050
INC009964,SHP071075,TRK8271135780,FedEx,Vancouver,Kelowna,Carrier Delay,High,Under Investigation,2026-02-21 22:00:00,4,Fog,Low,19.35,1247.7,Warehouse Escalation,46,WH-OTT-006,DRV00482
INC014993,SHP039869,TRK9223297307,UPS,Toronto,Montreal,Carrier Delay,Medium,Resolved,2026-05-22 08:00:00,24,Clear,Medium,20.35,879.17,Carrier Investigation,36,WH-VAN-005,DRV00891
INC021452,SHP095322,TRK2962492601,Purolator,Ottawa,Toronto,Weather Delay,Medium,Under Investigation,2026-02-27 14:00:00,1,Clear,Medium,8.28,680.19,Warehouse Escalation,11,WH-CGY-004,DRV01607
INC005364,SHP041575,TRK1999335036,UPS,Ottawa,Toronto,Mechanical Failure,Low,Resolved,2026-03-24 14:00:00,2,Clear,Low,4.3,2300.65,Refund Issued,84,WH-OTT-006,DRV01104
INC018913,SHP020249,TRK5239144940,FedEx,Halifax,Moncton,Mechanical Failure,Medium,Resolved,2026-01-22 04:00:00,24,Fog,High,41.85,1247.14,Delivery Rescheduled,58,WH-HFX-003,DRV01070
INC004508,SHP030365,TRK2166792187,FedEx,Calgary,Edmonton,Mechanical Failure,Low,Under Investigation,2026-04-28 16:00:00,2,Clear,Low,4.3,2167.74,Route Reassigned,47,WH-CGY-004,DRV01768
INC014480,SHP080468,TRK3340098619,FedEx,Calgary,Edmonton,Customs Hold,High,Resolved,2026-03-19 09:00:00,24,Cloudy,Medium,23.85,781.69,Refund Issued,41,WH-VAN-005,DRV01548
INC022806,SHP064457,TRK9168149695,DHL,Toronto,Montreal,Traffic Disruption,High,Resolved,2026-01-04 09:00:00,2,Clear,High,16.3,52.52,Shipment Reprocessed,32,WH-MTL-002,DRV00332
INC015809,SHP003569,TRK8731480108,DHL,Ottawa,Toronto,Failed Delivery Attempt,High,Under Investigation,2026-02-27 04:00:00,1,Fog,Low,17.77,1092.8,Delivery Rescheduled,49,WH-CGY-004,DRV01469
INC009539,SHP092416,TRK5976333920,FedEx,Toronto,Montreal,Lost Package,Medium,Open,2026-03-10 00:00:00,48,Clear,Low,28.45,1946.32,Shipment Reprocessed,47,WH-CGY-004,DRV00526
INC004746,SHP078867,TRK5316742848,Canada Post,Toronto,Montreal,Customs Hold,Medium,Open,2026-06-21 12:00:00,4,Clear,Medium,9.85,105.41,Warehouse Escalation,89,WH-MTL-002,DRV01704
INC006874,SHP045521,TRK1393079029,DHL,Vancouver,Kelowna,Traffic Disruption,Low,Resolved,2026-04-13 12:00:00,0,Storm,High,43.25,1784.09,Carrier Investigation,17,WH-HFX-003,DRV01861
INC007148,SHP056918,TRK2292250816,DHL,Calgary,Edmonton,Damaged Shipment,High,Resolved,2026-05-08 20:00:00,48,Fog,Low,42.45,65.45,Carrier Investigation,30,WH-OTT-006,DRV01092
INC024523,SHP018316,TRK2841988107,Purolator,Ottawa,Toronto,Warehouse Processing Delay,High,Resolved,2026-03-12 20:00:00,2,Fog,High,30.3,228.27,Shipment Reprocessed,77,WH-MTL-002,DRV02115
INC006412,SHP094360,TRK5637809796,Purolator,Vancouver,Kelowna,Weather Delay,Low,Resolved,2026-03-15 04:00:00,48,Clear,Low,28.45,1127.88,Delivery Rescheduled,13,WH-OTT-006,DRV00658
INC024095,SHP029179,TRK2294411289,DHL,Halifax,Moncton,Failed Delivery Attempt,Medium,Resolved,2026-01-05 04:00:00,12,Rain,Low,20.05,359.09,Driver Reassigned,82,WH-MTL-002,DRV01129
INC021340,SHP046279,TRK9521139391,FedEx,Toronto,Montreal,Traffic Disruption,Medium,Resolved,2026-06-12 20:00:00,1,Storm,Low,31.77,1303.54,Driver Reassigned,14,WH-VAN-005,DRV00361
INC000300,SHP056824,TRK1892717034,Purolator,Toronto,Montreal,Weather Delay,Low,Resolved,2026-04-16 12:00:00,0,Storm,High,43.25,297.56,Delivery Rescheduled,81,WH-CGY-004,DRV02144
INC011870,SHP025069,TRK8998475215,Purolator,Ottawa,Toronto,Warehouse Processing Delay,High,Resolved,2026-04-14 21:00:00,1,Cloudy,Low,7.28,1833.25,Carrier Investigation,21,WH-MTL-002,DRV01038
INC023789,SHP050624,TRK4485089476,Purolator,Calgary,Edmonton,Damaged Shipment,High,Under Investigation,2026-04-28 23:00:00,8,Snow,High,38.7,612.0,Warehouse Escalation,45,WH-HFX-003,DRV00232
INC018864,SHP042540,TRK1783311760,Purolator,Calgary,Edmonton,Carrier Delay,High,Resolved,2026-03-13 18:00:00,4,Clear,High,17.35,410.95,Driver Reassigned,79,WH-TOR-001,DRV00039
INC003341,SHP063393,TRK1916495585,DHL,Calgary,Edmonton,Carrier Delay,Medium,Escalated,2026-04-15 21:00:00,2,Fog,High,30.3,1395.9,Carrier Investigation,37,WH-MTL-002,DRV00274
INC022228,SHP005284,TRK8775856937,UPS,Ottawa,Toronto,Failed Delivery Attempt,High,Resolved,2026-02-08 15:00:00,4,Cloudy,Medium,13.35,777.74,Shipment Reprocessed,73,WH-TOR-001,DRV01787
INC004837,SHP097561,TRK2775579560,Purolator,Halifax,Moncton,Failed Delivery Attempt,Low,Resolved,2026-02-03 16:00:00,2,Storm,Medium,36.8,1956.43,Shipment Reprocessed,28,WH-VAN-005,DRV02272
INC012339,SHP064522,TRK9133297066,Purolator,Toronto,Montreal,Carrier Delay,High,Escalated,2026-04-27 04:00:00,8,Snow,High,38.7,2297.58,Route Reassigned,36,WH-TOR-001,DRV02087
INC013996,SHP027006,TRK5334810411,FedEx,Ottawa,Toronto,Lost Package,Low,Resolved,2026-04-07 04:00:00,1,Clear,Low,3.78,1547.56,Warehouse Escalation,76,WH-OTT-006,DRV00262
INC022265,SHP068992,TRK6588563565,Purolator,Ottawa,Toronto,Weather Delay,Low,Resolved,2026-01-20 05:00:00,0,Storm,High,43.25,2184.27,Carrier Investigation,27,WH-TOR-001,DRV00704
INC005513,SHP051516,TRK8174213417,FedEx,Vancouver,Kelowna,Traffic Disruption,High,Resolved,2026-02-09 18:00:00,24,Fog,Medium,34.35,1280.68,Route Reassigned,86,WH-OTT-006,DRV00855
INC001846,SHP014615,TRK1720206540,DHL,Calgary,Edmonton,Traffic Disruption,Low,Resolved,2026-05-01 15:00:00,1,Rain,High,26.28,74.16,Refund Issued,53,WH-VAN-005,DRV01269
INC003148,SHP066175,TRK8017492597,DHL,Calgary,Edmonton,Failed Delivery Attempt,Low,Escalated,2026-02-12 20:00:00,8,Clear,Low,7.45,2484.6,Carrier Investigation,69,WH-OTT-006,DRV01003
INC011652,SHP031515,TRK8470685483,Canada Post,Calgary,Edmonton,Address Issue,Low,Under Investigation,2026-03-27 13:00:00,8,Rain,Severe,37.45,844.62,Customer Notified,22,WH-TOR-001,DRV01383
INC015528,SHP037689,TRK4135958458,DHL,Toronto,Montreal,Traffic Disruption,Medium,Resolved,2026-04-27 12:00:00,0,Snow,Severe,42.0,228.27,Driver Reassigned,77,WH-TOR-001,DRV02369
INC005887,SHP060194,TRK3229821965,Purolator,Toronto,Montreal,Mechanical Failure,Medium,Resolved,2026-02-23 01:00:00,24,Cloudy,Medium,23.85,747.14,Refund Issued,31,WH-OTT-006,DRV02421
INC001720,SHP040567,TRK3127862392,DHL,Vancouver,Kelowna,Lost Package,Low,Under Investigation,2026-05-16 17:00:00,2,Clear,Low,4.3,1030.79,Delivery Rescheduled,34,WH-HFX-003,DRV00693
INC003846,SHP099515,TRK6578012302,FedEx,Calgary,Edmonton,Lost Package,Low,Resolved,2026-02-24 21:00:00,8,Rain,Severe,37.45,693.74,Carrier Investigation,60,WH-OTT-006,DRV02247
INC016890,SHP095546,TRK1560448311,DHL,Calgary,Edmonton,Damaged Shipment,Medium,Resolved,2026-03-18 16:00:00,2,Fog,Low,18.3,2124.37,Carrier Investigation,93,WH-VAN-005,DRV00336
INC021303,SHP071932,TRK6402014179,DHL,Toronto,Montreal,Weather Delay,Medium,Resolved,2026-01-29 00:00:00,12,Snow,Low,28.8,747.44,Delivery Rescheduled,82,WH-TOR-001,DRV00691
INC011092,SHP016222,TRK7693888705,Purolator,Ottawa,Toronto,Weather Delay,Medium,Resolved,2026-06-30 04:00:00,8,Clear,High,19.45,1435.86,Customer Notified,34,WH-TOR-001,DRV01852
INC019445,SHP002694,TRK5083517769,UPS,Halifax,Moncton,Weather Delay,Medium,Resolved,2026-03-08 19:00:00,1,Rain,Medium,18.77,212.96,Customer Notified,43,WH-TOR-001,DRV01972
INC014216,SHP015666,TRK3104131432,FedEx,Vancouver,Kelowna,Failed Delivery Attempt,Low,Under Investigation,2026-02-12 00:00:00,1,Storm,Medium,36.28,269.57,Customer Notified,23,WH-OTT-006,DRV01090
INC004869,SHP068843,TRK6557176299,DHL,Calgary,Edmonton,Weather Delay,Low,Under Investigation,2026-04-21 05:00:00,0,Snow,Severe,42.0,808.71,Refund Issued,77,WH-TOR-001,DRV01263
INC020545,SHP088874,TRK1073014093,UPS,Vancouver,Kelowna,Weather Delay,Medium,Resolved,2026-04-29 13:00:00,8,Cloudy,Low,10.95,780.81,Customer Notified,79,WH-TOR-001,DRV00145
INC023677,SHP035931,TRK1107300751,FedEx,Calgary,Edmonton,Traffic Disruption,Low,Under Investigation,2026-04-12 18:00:00,48,Clear,Low,28.45,1957.99,Carrier Investigation,20,WH-CGY-004,DRV01604
INC013239,SHP001420,TRK8737139929,Purolator,Toronto,Montreal,Weather Delay,Medium,Resolved,2026-05-21 21:00:00,2,Cloudy,Severe,27.3,1179.35,Delivery Rescheduled,93,WH-HFX-003,DRV00770
INC008029,SHP025319,TRK5502896050,FedEx,Toronto,Montreal,Address Issue,Low,Open,2026-04-12 02:00:00,24,Clear,Medium,20.35,432.25,Route Reassigned,11,WH-HFX-003,DRV00655
INC001114,SHP007202,TRK2134294703,UPS,Toronto,Montreal,Failed Delivery Attempt,Medium,Escalated,2026-06-20 07:00:00,4,Clear,High,17.35,730.83,Delivery Rescheduled,28,WH-CGY-004,DRV00219
INC003893,SHP050002,TRK9608380655,Canada Post,Ottawa,Toronto,Weather Delay,Medium,Resolved,2026-05-11 10:00:00,8,Rain,Medium,22.45,2032.45,Customer Notified,76,WH-OTT-006,DRV01747
INC007893,SHP080107,TRK4419805233,FedEx,Toronto,Montreal,Weather Delay,Medium,Under Investigation,2026-03-17 04:00:00,1,Cloudy,Medium,11.78,1386.58,Customer Notified,12,WH-CGY-004,DRV02001
INC012998,SHP071427,TRK2322994626,Canada Post,Toronto,Montreal,Traffic Disruption,Low,Under Investigation,2026-01-05 10:00:00,2,Clear,Low,4.3,1450.31,Shipment Reprocessed,69,WH-VAN-005,DRV02093
INC016012,SHP013517,TRK5821175214,UPS,Calgary,Edmonton,Failed Delivery Attempt,Medium,Resolved,2026-02-14 20:00:00,8,Rain,High,29.95,1777.57,Carrier Investigation,93,WH-OTT-006,DRV00074
INC009919,SHP066416,TRK6499470677,Canada Post,Ottawa,Toronto,Weather Delay,Critical,Resolved,2026-04-24 00:00:00,4,Fog,Medium,23.85,1646.23,Warehouse Escalation,8,WH-HFX-003,DRV01557
INC022544,SHP006700,TRK6483512386,UPS,Vancouver,Kelowna,Weather Delay,Low,Escalated,2026-06-09 20:00:00,1,Clear,Low,3.78,250.2,Shipment Reprocessed,68,WH-HFX-003,DRV02239
INC019535,SHP094816,TRK5246718833,DHL,Toronto,Montreal,Weather Delay,Medium,Resolved,2026-04-07 21:00:00,1,Clear,Low,3.78,743.2,Carrier Investigation,54,WH-TOR-001,DRV00212
