shipment_id,tracking_number,carrier,origin,destination,distance_km,estimated_duration_hours,shipment_date,estimated_delivery_date,actual_delivery_date,shipment_status,delay_hours,package_weight_kg,package_type,shipping_cost_cad,priority_level,service_level,customer_type,weather_condition,traffic_level,warehouse_id,driver_id,fuel_cost_cad,delivery_cost_cad,delay_reason,on_time_delivery,route_risk_score,risk_category,delivery_performance
SHP055176,TRK2312082177,FedEx,Halifax,Moncton,265.46,4.13,2026-01-03,2026-01-04,2026-01-04,Delivered,0,12.21,Documents,65.87,Standard,Two-Day,Enterprise,Fog,Low,WH-VAN-005,DRV00019,93.56,159.43,None,1,17.25,Low,On Time
SHP086112,TRK3277487127,DHL,Calgary,Edmonton,300.44,4.62,2026-06-16,2026-06-17,2026-06-17,Delivered,0,22.96,Documents,73.36,Same-Day,Ground,Enterprise,Clear,Low,WH-MTL-002,DRV00500,114.44,187.8,None,1,3.25,Low,On Time
SHP007122,TRK3744977738,FedEx,Calgary,Edmonton,300.44,4.62,2026-05-21,2026-05-22,2026-05-22,Delivered,0,16.7,Large Parcel,53.59,Same-Day,Ground,Business,Clear,Low,WH-TOR-001,DRV02241,103.01,156.6,None,1,3.25,Low,On Time
SHP090021,TRK5699398772,FedEx,Calgary,Edmonton,300.44,4.62,2026-05-16,2026-05-17,2026-05-17,Delivered,0,33.31,Medium Parcel,88.05,Standard,Overnight,Business,Snow,Medium,WH-MTL-002,DRV01450,96.23,184.28,None,1,27.0,Medium,On Time
SHP037494,TRK1126050843,Canada Post,Vancouver,Kelowna,390.79,6.06,2026-04-04,2026-04-05,2026-04-05,Delivered,0,22.35,Electronics,84.44,Standard,Ground,Enterprise,Rain,Low,WH-OTT-006,DRV01083,115.84,200.28,None,1,13.75,Low,On Time
SHP027366,TRK1656831541,Canada Post,Halifax,Moncton,265.46,4.13,2026-02-28,2026-03-01,2026-03-01,Minor Delay,1,7.53,Small Parcel,64.38,Standard,Two-Day,Business,Snow,Medium,WH-TOR-001,DRV00771,87.71,152.09,Traffic,0,27.52,Medium,Slight Delay
SHP077671,TRK8525096387,FedEx,Calgary,Edmonton,300.44,4.62,2026-01-17,2026-01-18,2026-01-18,Delivered,0,32.57,Electronics,64.28,Standard,Priority,Retail,Clear,Medium,WH-TOR-001,DRV01604,59.86,124.14,None,1,7.75,Low,On Time
SHP056157,TRK7696939332,Purolator,Ottawa,Toronto,404.47,6.65,2026-04-29,2026-04-30,2026-05-02,Critical Delay,48,17.94,Fragile,63.73,Standard,Two-Day,Business,Cloudy,High,WH-HFX-003,DRV01679,137.4,201.13,Weather,0,43.95,Medium,Severely Delayed
SHP026565,TRK5947045431,DHL,Halifax,Moncton,265.46,4.13,2026-01-23,2026-01-24,2026-01-24,Delivered,0,27.98,Medium Parcel,61.94,Same-Day,Priority,Enterprise,Rain,Low,WH-OTT-006,DRV01679,105.35,167.29,None,1,13.75,Low,On Time
SHP044516,TRK2604268328,UPS,Toronto,Montreal,543.55,8.66,2026-01-23,2026-01-25,2026-01-25,Delivered,0,33.56,Electronics,106.0,Same-Day,Overnight,Business,Rain,Low,WH-VAN-005,DRV00027,134.02,240.02,None,1,13.75,Low,On Time
SHP086915,TRK7612721408,FedEx,Calgary,Edmonton,300.44,4.62,2026-06-10,2026-06-11,2026-06-11,Minor Delay,1,24.07,Fragile,67.56,Express,Overnight,Enterprise,Rain,High,WH-MTL-002,DRV01836,64.77,132.33,Weather,0,26.28,Medium,Slight Delay
SHP006914,TRK8918550000,UPS,Vancouver,Kelowna,390.79,6.06,2026-02-05,2026-02-06,2026-02-06,Minor Delay,2,18.06,Documents,80.75,Same-Day,Ground,Enterprise,Clear,Low,WH-OTT-006,DRV01313,157.47,238.22,Traffic,0,4.3,Low,Slight Delay
SHP015848,TRK6827452568,UPS,Calgary,Edmonton,300.44,4.62,2026-01-25,2026-01-26,2026-01-26,Delivered,0,40.26,Electronics,80.7,Standard,Overnight,Business,Fog,High,WH-HFX-003,DRV00072,120.58,201.28,None,1,29.25,Medium,On Time
SHP047550,TRK4114733234,FedEx,Calgary,Edmonton,300.44,4.62,2026-05-10,2026-05-11,2026-05-11,Delivered,0,18.26,Small Parcel,55.14,Standard,Overnight,Retail,Rain,Medium,WH-VAN-005,DRV00502,64.17,119.31,None,1,18.25,Low,On Time
SHP039031,TRK3692470529,DHL,Toronto,Montreal,543.55,8.66,2026-06-06,2026-06-08,2026-06-08,Delivered,0,28.26,Small Parcel,84.73,Standard,Ground,Enterprise,Clear,Medium,WH-TOR-001,DRV00911,197.22,281.95,None,1,7.75,Low,On Time
SHP054865,TRK6630255515,UPS,Vancouver,Kelowna,390.79,6.06,2026-03-05,2026-03-06,2026-03-06,Delivered,0,38.47,Small Parcel,75.74,Standard,Two-Day,Business,Clear,Low,WH-OTT-006,DRV00057,116.74,192.48,None,1,3.25,Low,On Time
SHP023901,TRK1490710481,Canada Post,Halifax,Moncton,265.46,4.13,2026-06-29,2026-06-30,2026-06-30,Delivered,0,9.49,Fragile,41.17,Same-Day,Ground,Retail,Snow,Low,WH-HFX-003,DRV01983,106.26,147.43,None,1,22.5,Low,On Time
SHP067081,TRK4960020336,Purolator,Toronto,Montreal,543.55,8.66,2026-05-28,2026-05-30,2026-05-30,Delivered,0,0.53,Documents,60.01,Same-Day,Priority,Retail,Cloudy,Medium,WH-TOR-001,DRV01673,225.13,285.14,None,1,11.25,Low,On Time
SHP053606,TRK3556052615,DHL,Halifax,Moncton,265.46,4.13,2026-01-13,2026-01-14,2026-01-14,Delivered,0,10.74,Large Parcel,59.65,Standard,Overnight,Enterprise,Clear,Medium,WH-VAN-005,DRV01112,74.51,134.16,None,1,7.75,Low,On Time
SHP019914,TRK8392981814,Purolator,Halifax,Moncton,265.46,4.13,2026-04-11,2026-04-12,2026-04-12,Delivered,0,36.1,Small Parcel,66.48,Standard,Ground,Enterprise,Clear,High,WH-MTL-002,DRV01424,98.58,165.06,None,1,15.25,Low,On Time
SHP019309,TRK8323874358,Canada Post,Vancouver,Kelowna,390.79,6.06,2026-03-18,2026-03-19,2026-03-19,Minor Delay,8,34.69,Small Parcel,84.3,Same-Day,Overnight,Retail,Cloudy,Medium,WH-MTL-002,DRV01995,71.88,156.18,Weather,0,15.45,Low,Slight Delay
SHP064531,TRK9787657387,UPS,Halifax,Moncton,265.46,4.13,2026-06-02,2026-06-03,2026-06-03,Minor Delay,1,20.06,Documents,64.14,Same-Day,Two-Day,Retail,Snow,Low,WH-HFX-003,DRV02115,69.27,133.41,Traffic,0,23.02,Low,Slight Delay
SHP036426,TRK3258305893,Canada Post,Toronto,Montreal,543.55,8.66,2026-03-06,2026-03-08,2026-03-08,Delayed,12,2.83,Large Parcel,73.92,Standard,Two-Day,Enterprise,Clear,Low,WH-CGY-004,DRV01706,143.67,217.59,Warehouse Delay,0,9.55,Low,Delayed
SHP027556,TRK4963770075,UPS,Halifax,Moncton,265.46,4.13,2026-01-22,2026-01-23,2026-01-23,Minor Delay,2,26.39,Large Parcel,81.9,Same-Day,Ground,Enterprise,Clear,Low,WH-TOR-001,DRV00128,59.66,141.56,Weather,0,4.3,Low,Slight Delay
SHP095880,TRK1779313743,Canada Post,Halifax,Moncton,265.46,4.13,2026-02-25,2026-02-26,2026-02-26,Delivered,0,4.49,Medium Parcel,52.06,Standard,Ground,Enterprise,Rain,Low,WH-TOR-001,DRV01656,94.77,146.83,None,1,13.75,Low,On Time
SHP009990,TRK9599954237,UPS,Ottawa,Toronto,404.47,6.65,2026-01-09,2026-01-10,2026-01-10,Minor Delay,2,43.26,Electronics,84.93,Same-Day,Priority,Enterprise,Storm,Medium,WH-TOR-001,DRV00344,111.57,196.5,Weather,0,36.8,Medium,Slight Delay
SHP081783,TRK4607184611,Canada Post,Toronto,Montreal,543.55,8.66,2026-03-26,2026-03-28,2026-03-28,Delivered,0,5.99,Large Parcel,63.07,Standard,Priority,Business,Cloudy,Low,WH-VAN-005,DRV00571,99.51,162.58,None,1,6.75,Low,On Time
SHP070983,TRK7399325292,Purolator,Ottawa,Toronto,404.47,6.65,2026-03-13,2026-03-14,2026-03-14,Delivered,0,8.39,Large Parcel,56.55,Standard,Priority,Enterprise,Clear,Low,WH-CGY-004,DRV02152,133.98,190.53,None,1,3.25,Low,On Time
SHP011857,TRK4746555367,Canada Post,Toronto,Montreal,543.55,8.66,2026-01-05,2026-01-07,2026-01-07,Delivered,0,16.27,Fragile,93.48,Standard,Overnight,Enterprise,Rain,Medium,WH-MTL-002,DRV00794,217.94,311.42,None,1,18.25,Low,On Time
SHP096571,TRK1997271574,Canada Post,Toronto,Montreal,543.55,8.66,2026-03-25,2026-03-27,2026-03-27,Delivered,0,7.33,Fragile,68.9,Same-Day,Priority,Enterprise,Snow,Low,WH-MTL-002,DRV00519,207.86,276.76,None,1,22.5,Low,On Time
SHP002376,TRK1318803035,FedEx,Halifax,Moncton,265.46,4.13,2026-03-13,2026-03-14,2026-03-14,Delivered,0,1.8,Documents,41.99,Standard,Priority,Retail,Clear,Medium,WH-VAN-005,DRV01945,50.44,92.43,None,1,7.75,Low,On Time
SHP005059,TRK1568654041,Canada Post,Vancouver,Kelowna,390.79,6.06,2026-03-08,2026-03-09,2026-03-09,Minor Delay,1,9.85,Documents,63.74,Express,Overnight,Enterprise,Rain,Low,WH-CGY-004,DRV01463,87.17,150.91,Carrier Delay,0,14.28,Low,Slight Delay
SHP052719,TRK1535829974,Purolator,Vancouver,Kelowna,390.79,6.06,2026-05-20,2026-05-21,2026-05-21,Delivered,0,6.0,Large Parcel,69.29,Express,Two-Day,Business,Clear,Low,WH-HFX-003,DRV01979,125.58,194.87,None,1,3.25,Low,On Time
SHP008310,TRK3069775031,UPS,Halifax,Moncton,265.46,4.13,2026-02-20,2026-02-21,2026-02-21,Delivered,0,44.02,Electronics,72.67,Same-Day,Priority,Retail,Rain,Severe,WH-CGY-004,DRV01700,92.48,165.15,None,1,33.25,Medium,On Time
SHP085913,TRK7894476131,FedEx,Halifax,Moncton,265.46,4.13,2026-04-27,2026-04-28,2026-04-28,Delivered,0,24.58,Documents,60.1,Express,Ground,Business,Rain,High,WH-VAN-005,DRV02389,98.74,158.84,None,1,25.75,Medium,On Time
SHP052834,TRK9786907088,FedEx,Halifax,Moncton,265.46,4.13,2026-06-03,2026-06-04,2026-06-04,Delivered,0,43.22,Fragile,91.96,Express,Overnight,Retail,Clear,Medium,WH-VAN-005,DRV02167,56.22,148.18,None,1,7.75,Low,On Time
SHP019583,TRK7332293580,FedEx,Vancouver,Kelowna,390.79,6.06,2026-01-31,2026-02-01,2026-02-01,Minor Delay,8,19.5,Electronics,59.03,Same-Day,Two-Day,Business,Fog,Medium,WH-HFX-003,DRV02278,141.11,200.14,Traffic,0,25.95,Medium,Slight Delay
SHP015236,TRK4694708183,Canada Post,Ottawa,Toronto,404.47,6.65,2026-03-07,2026-03-08,2026-03-08,Delivered,0,16.01,Electronics,81.84,Standard,Two-Day,Retail,Rain,Low,WH-VAN-005,DRV00920,76.82,158.66,None,1,13.75,Low,On Time
SHP078285,TRK3272165890,DHL,Toronto,Montreal,543.55,8.66,2026-02-25,2026-02-27,2026-02-27,Delivered,0,12.13,Large Parcel,67.28,Express,Overnight,Business,Cloudy,Low,WH-HFX-003,DRV00597,141.99,209.27,None,1,6.75,Low,On Time
SHP017996,TRK1625577029,UPS,Halifax,Moncton,265.46,4.13,2026-02-24,2026-02-25,2026-02-25,Minor Delay,8,33.53,Fragile,72.8,Same-Day,Ground,Business,Rain,Low,WH-TOR-001,DRV02033,78.61,151.41,Mechanical Issue,0,17.95,Low,Slight Delay
SHP026906,TRK5607386052,Canada Post,Calgary,Edmonton,300.44,4.62,2026-03-20,2026-03-21,2026-03-21,Delivered,0,17.09,Small Parcel,53.36,Same-Day,Two-Day,Retail,Rain,Medium,WH-CGY-004,DRV01610,124.06,177.42,None,1,18.25,Low,On Time
SHP028730,TRK9135936316,DHL,Ottawa,Toronto,404.47,6.65,2026-05-23,2026-05-24,2026-05-24,Minor Delay,8,35.59,Medium Parcel,94.91,Same-Day,Ground,Retail,Fog,Medium,WH-MTL-002,DRV02111,137.03,231.94,Weather,0,25.95,Medium,Slight Delay
SHP055474,TRK8587365523,Purolator,Vancouver,Kelowna,390.79,6.06,2026-04-05,2026-04-06,2026-04-06,Delivered,0,14.74,Fragile,55.84,Standard,Priority,Retail,Clear,High,WH-CGY-004,DRV00402,100.57,156.41,None,1,15.25,Low,On Time
SHP018370,TRK1409082625,Canada Post,Ottawa,Toronto,404.47,6.65,2026-02-28,2026-03-01,2026-03-01,Delivered,0,39.52,Medium Parcel,84.17,Express,Overnight,Retail,Storm,Severe,WH-OTT-006,DRV01370,158.85,243.02,None,1,50.75,High,On Time
SHP091467,TRK1802165134,DHL,Ottawa,Toronto,404.47,6.65,2026-06-13,2026-06-14,2026-06-14,Delivered,0,10.42,Electronics,57.15,Standard,Overnight,Retail,Clear,Low,WH-OTT-006,DRV01230,123.42,180.57,None,1,3.25,Low,On Time
SHP057451,TRK2567839806,Canada Post,Ottawa,Toronto,404.47,6.65,2026-02-25,2026-02-26,2026-02-26,Delivered,0,34.16,Large Parcel,78.49,Same-Day,Ground,Enterprise,Rain,Low,WH-VAN-005,DRV01028,157.84,236.33,None,1,13.75,Low,On Time
SHP049218,TRK9553998112,FedEx,Ottawa,Toronto,404.47,6.65,2026-04-10,2026-04-11,2026-04-11,Delivered,0,1.26,Large Parcel,47.64,Same-Day,Overnight,Business,Cloudy,Low,WH-MTL-002,DRV01506,147.29,194.93,None,1,6.75,Low,On Time
SHP038943,TRK8095404998,DHL,Vancouver,Kelowna,390.79,6.06,2026-05-25,2026-05-26,2026-05-26,Minor Delay,8,6.95,Large Parcel,53.24,Same-Day,Overnight,Retail,Clear,Low,WH-TOR-001,DRV00852,158.26,211.5,Address Issue,0,7.45,Low,Slight Delay
SHP077193,TRK8621108000,FedEx,Ottawa,Toronto,404.47,6.65,2026-05-16,2026-05-17,2026-05-17,Minor Delay,1,37.2,Large Parcel,96.23,Standard,Ground,Enterprise,Cloudy,Medium,WH-HFX-003,DRV01273,73.95,170.18,Warehouse Delay,0,11.78,Low,Slight Delay
SHP047919,TRK5478406376,UPS,Calgary,Edmonton,300.44,4.62,2026-03-11,2026-03-12,2026-03-12,Delivered,0,5.69,Large Parcel,43.13,Express,Ground,Enterprise,Snow,Low,WH-MTL-002,DRV01671,91.45,134.58,None,1,22.5,Low,On Time
SHP024431,TRK2540743378,Canada Post,Ottawa,Toronto,404.47,6.65,2026-03-29,2026-03-30,2026-03-30,Minor Delay,2,25.8,Small Parcel,88.65,Standard,Priority,Enterprise,Rain,Low,WH-TOR-001,DRV02223,94.99,183.64,Carrier Delay,0,14.8,Low,Slight Delay
SHP034617,TRK1568870624,Purolator,Toronto,Montreal,543.55,8.66,2026-06-01,2026-06-03,2026-06-03,Delivered,0,27.26,Medium Parcel,99.67,Express,Ground,Retail,Rain,Medium,WH-CGY-004,DRV00917,218.39,318.06,None,1,18.25,Low,On Time
SHP015206,TRK7984031584,Purolator,Halifax,Moncton,265.46,4.13,2026-01-22,2026-01-23,2026-01-23,Delivered,0,29.01,Medium Parcel,68.08,Standard,Two-Day,Business,Clear,Medium,WH-CGY-004,DRV00841,105.34,173.42,None,1,7.75,Low,On Time
SHP098770,TRK5008573680,Purolator,Halifax,Moncton,265.46,4.13,2026-06-28,2026-06-29,2026-06-29,Minor Delay,2,29.84,Large Parcel,69.63,Same-Day,Priority,Retail,Cloudy,Medium,WH-CGY-004,DRV01067,89.7,159.33,Weather,0,12.3,Low,Slight Delay
SHP024965,TRK8266908032,UPS,Toronto,Montreal,543.55,8.66,2026-01-05,2026-01-07,2026-01-07,Delivered,0,43.51,Documents,102.26,Express,Ground,Business,Clear,High,WH-HFX-003,DRV01680,118.98,221.24,None,1,15.25,Low,On Time
SHP068864,TRK6215480865,Purolator,Ottawa,Toronto,404.47,6.65,2026-04-05,2026-04-06,2026-04-06,Minor Delay,8,8.09,Small Parcel,74.62,Standard,Two-Day,Retail,Clear,Medium,WH-MTL-002,DRV01367,90.48,165.1,Warehouse Delay,0,11.95,Low,Slight Delay
SHP080587,TRK7024986410,Canada Post,Toronto,Montreal,543.55,8.66,2026-02-18,2026-02-20,2026-02-20,Delivered,0,32.3,Documents,83.25,Express,Overnight,Enterprise,Clear,Medium,WH-CGY-004,DRV01025,172.48,255.73,None,1,7.75,Low,On Time
SHP053786,TRK5416005240,FedEx,Halifax,Moncton,265.46,4.13,2026-06-20,2026-06-21,2026-06-21,Delivered,0,2.51,Electronics,57.04,Same-Day,Ground,Business,Clear,Medium,WH-HFX-003,DRV00288,107.48,164.52,None,1,7.75,Low,On Time
SHP078853,TRK7177495581,UPS,Toronto,Montreal,543.55,8.66,2026-02-25,2026-02-27,2026-02-28,Delayed,24,23.15,Electronics,88.01,Same-Day,Priority,Retail,Fog,High,WH-TOR-001,DRV00613,121.7,209.71,Carrier Delay,0,41.85,Medium,Delayed
SHP032550,TRK3530413706,Canada Post,Toronto,Montreal,543.55,8.66,2026-01-24,2026-01-26,2026-01-26,Delivered,0,27.13,Medium Parcel,91.65,Standard,Overnight,Business,Fog,Low,WH-CGY-004,DRV01744,111.67,203.32,None,1,17.25,Low,On Time
SHP020396,TRK7984362087,FedEx,Halifax,Moncton,265.46,4.13,2026-06-02,2026-06-03,2026-06-03,Delivered,0,1.89,Medium Parcel,47.57,Standard,Two-Day,Retail,Clear,Low,WH-CGY-004,DRV00297,76.62,124.19,None,1,3.25,Low,On Time
SHP099098,TRK7116703565,UPS,Halifax,Moncton,265.46,4.13,2026-04-11,2026-04-12,2026-04-12,Delivered,0,12.75,Documents,53.48,Same-Day,Overnight,Business,Snow,Medium,WH-VAN-005,DRV01182,71.24,124.72,None,1,27.0,Medium,On Time
SHP023337,TRK4857455548,Canada Post,Vancouver,Kelowna,390.79,6.06,2026-02-07,2026-02-08,2026-02-08,Delivered,0,38.78,Small Parcel,81.7,Same-Day,Ground,Retail,Clear,Medium,WH-CGY-004,DRV01246,72.75,154.45,None,1,7.75,Low,On Time
SHP068171,TRK6451817351,DHL,Ottawa,Toronto,404.47,6.65,2026-03-30,2026-03-31,2026-03-31,Delayed,12,35.12,Medium Parcel,76.5,Standard,Overnight,Retail,Cloudy,Medium,WH-OTT-006,DRV00941,156.57,233.07,Warehouse Delay,0,17.55,Low,Delayed
SHP081063,TRK8150192774,DHL,Ottawa,Toronto,404.47,6.65,2026-06-22,2026-06-23,2026-06-23,Minor Delay,8,33.93,Electronics,89.86,Standard,Ground,Business,Cloudy,Medium,WH-MTL-002,DRV00938,149.02,238.88,Mechanical Issue,0,15.45,Low,Slight Delay
SHP040930,TRK6768683256,FedEx,Calgary,Edmonton,300.44,4.62,2026-01-10,2026-01-11,2026-01-11,Minor Delay,1,5.67,Large Parcel,65.82,Express,Priority,Retail,Clear,Low,WH-HFX-003,DRV00995,106.82,172.64,Carrier Delay,0,3.78,Low,Slight Delay
SHP017835,TRK4136455673,DHL,Toronto,Montreal,543.55,8.66,2026-05-20,2026-05-22,2026-05-22,Delayed,12,5.75,Medium Parcel,64.01,Same-Day,Priority,Retail,Clear,Medium,WH-VAN-005,DRV01461,177.16,241.17,Weather,0,14.05,Low,Delayed
SHP099953,TRK6302256499,DHL,Toronto,Montreal,543.55,8.66,2026-03-16,2026-03-18,2026-03-18,Delivered,0,27.09,Documents,86.78,Same-Day,Ground,Enterprise,Clear,High,WH-MTL-002,DRV01896,182.0,268.78,None,1,15.25,Low,On Time
SHP031185,TRK7923458404,FedEx,Vancouver,Kelowna,390.79,6.06,2026-06-10,2026-06-11,2026-06-11,Minor Delay,8,34.71,Fragile,92.65,Same-Day,Overnight,Retail,Fog,Medium,WH-MTL-002,DRV00149,133.78,226.43,Warehouse Delay,0,25.95,Medium,Slight Delay
SHP098905,TRK3949856703,FedEx,Ottawa,Toronto,404.47,6.65,2026-05-08,2026-05-09,2026-05-09,Delayed,12,11.06,Electronics,67.88,Express,Overnight,Enterprise,Clear,Medium,WH-CGY-004,DRV02316,146.6,214.48,Mechanical Issue,0,14.05,Low,Delayed
SHP040967,TRK8753922888,Canada Post,Toronto,Montreal,543.55,8.66,2026-02-15,2026-02-17,2026-02-17,Delivered,0,5.89,Fragile,65.11,Express,Overnight,Enterprise,Snow,Medium,WH-CGY-004,DRV01427,193.21,258.32,None,1,27.0,Medium,On Time
SHP008339,TRK8059918908,Purolator,Vancouver,Kelowna,390.79,6.06,2026-01-25,2026-01-26,2026-01-26,Delivered,0,30.02,Medium Parcel,73.08,Same-Day,Two-Day,Retail,Rain,Medium,WH-OTT-006,DRV02458,80.29,153.37,None,1,18.25,Low,On Time
SHP016633,TRK4274533920,FedEx,Vancouver,Kelowna,390.79,6.06,2026-02-06,2026-02-07,2026-02-07,Minor Delay,4,40.67,Electronics,99.32,Standard,Priority,Retail,Rain,High,WH-TOR-001,DRV00117,108.08,207.4,Carrier Delay,0,27.85,Medium,Slight Delay
SHP057634,TRK3074695831,Purolator,Ottawa,Toronto,404.47,6.65,2026-02-20,2026-02-21,2026-02-21,Delivered,0,23.12,Documents,73.27,Express,Priority,Business,Clear,Low,WH-HFX-003,DRV01168,97.77,171.04,None,1,3.25,Low,On Time
SHP015596,TRK7176900819,UPS,Vancouver,Kelowna,390.79,6.06,2026-02-11,2026-02-12,2026-02-13,Delayed,24,24.02,Fragile,63.05,Standard,Overnight,Enterprise,Clear,Severe,WH-CGY-004,DRV00805,149.98,213.03,Warehouse Delay,0,35.35,Medium,Delayed
SHP000259,TRK3405575524,FedEx,Vancouver,Kelowna,390.79,6.06,2026-01-17,2026-01-18,2026-01-18,Delivered,0,13.49,Documents,73.07,Same-Day,Ground,Enterprise,Rain,High,WH-MTL-002,DRV01338,150.45,223.52,None,1,25.75,Medium,On Time
SHP026802,TRK2303545710,Canada Post,Ottawa,Toronto,404.47,6.65,2026-02-24,2026-02-25,2026-02-25,Delivered,0,44.56,Medium Parcel,98.1,Express,Priority,Retail,Storm,High,WH-CGY-004,DRV02497,98.64,196.74,None,1,43.25,Medium,On Time
SHP070829,TRK9441861503,UPS,Ottawa,Toronto,404.47,6.65,2026-03-04,2026-03-05,2026-03-05,Minor Delay,2,37.74,Large Parcel,76.17,Standard,Overnight,Business,Clear,Low,WH-VAN-005,DRV02247,166.48,242.65,Carrier Delay,0,4.3,Low,Slight Delay
SHP023689,TRK5936118759,DHL,Vancouver,Kelowna,390.79,6.06,2026-06-21,2026-06-22,2026-06-22,Minor Delay,2,14.89,Large Parcel,61.38,Standard,Ground,Enterprise,Clear,High,WH-TOR-001,DRV01166,108.71,170.09,Carrier Delay,0,16.3,Low,Slight Delay
